nom,tier,path,description
Cultiste,Tiers 1,"",Les Cultistes apprennent la foi et les principes de la magie démoniaque en priorité. Soit ils renforcent leur force mentale soit ils renforcent leur résistance aux effets négatifs suivant leur environnement.
Agent,Tiers 2,Cultiste -> Agent,Les Agents sont des espions. Ils reprennent les classes des autres factions (sauf pacifistes) et ont une forte affinité avec la magie démoniaque. Ils sont incollable sur les situations géopolitique/économique des autres pays.
Hérétique,Tiers 2,Cultiste -> Hérétique,Les Hérétiques sont les Cultistes qui se sont baignés dans le sang de leurs ennemis. Ils ne désirs qu’une chose: la bataille. Ils ne ressente pas la douleur.
Mage,Tiers 2,Cultiste -> Mage,Les Mages Démons sont les Cultistes ayant une affinité pour les magies élémentaire. Ils se spécifient dans un élément et sont envoyés sur le champ de bataille pour faire régner la terreur. Certains travaillent de concert avec les Agents pour préparer une « Révolte ». Ils sont immunisés aux altérations qu’ils propagent.
Haut-Cultiste,Tiers 2,Cultiste -> Haut-Cultiste,Les Haut-Cultistes sont les Cultistes ayant tapé dans l’oeil d’un Archi-démon. Ils le vénèrent et apprennent de lui. Ils sont chargés de trouver d’autres Cultistes susceptibles de les rejoindre.
Navigateur / Royaume / Gardien,Tiers 3,Cultiste -> Agent -> Infiltration,"Les Agents commencent leur nouvelle formation en temps que recrue. Ils ont cependant le devoir de préparer une « Révolte » avec l’aide d’autres Cultistes."
Chevalier,Tiers 3,Cultiste -> Hérétique -> Chevalier,Les Chevalier Démons sont les Hérétiques ayant accompli un exploit. Ils ont la possibilité de faire un serment auprès d’un Archi-démon.
Berserker,Tiers 3,Cultiste -> Hérétique -> Berserker,Les Berserker sont les Hérétiques s’étant baignés dans leur propre sang. Ils utilisent la magie démoniaque pour se transformer eux même en arme. Leur force est proportionnel à leurs blessures.
Démon,Tiers 3,Cultiste -> Haut-Cultiste -> Démon,Les Démons sont des Haut-Cultistes ayant réussi à s’élever. Ils sont toujours aux ordre d’un Archi-démon et complètent son armé comme unité de haut rang. Ils peuvent échapper à l’autorité des autres Archi-démons.
Prêtre,Tiers 3,Cultiste -> Mage -> Prêtre,Les Prêtres Démons sont les mages démoniaques ayant maîtrisé la magie Blanche. Ils se dévouent à un archi-démon et prêchent sa parole aux autres cultistes. Les plus puissants sont appelés « prêtres de sang » et peuvent invoquer des démons inférieurs en sacrifiant une partie de leur chair. Ce sont eux qui provoquent l’ascension d’un Haut-Cultiste en Démon.
Sorcier,Tiers 3,Cultiste -> Mage -> Sorcier,"Les Sorciers Démons sont les mages démoniaques ayant maîtrisé la magie Noir. Ils forment les Hérétiques et les enchantent pour qu’ils ne ressentent plus la douleur. Des rumeurs disent qu’un Sorcier démoniaque est aux services du Roi, et que c’est lui qui enchante ses Recrues."
Alchimiste,Tiers 3,Cultiste -> Mage -> Alchimiste,"Les Alchimistes Démon travaille de concert avec les Sorciers et les Prêtres pour préparer les rituels. Ils sont capables de créer des élixirs, très prîsés par les Berserker pour transformer l’hôte en démon artificiel temporairement."
Archi-démon,Tiers 4,Cultiste -> Haut-Cultiste -> Démon -> Archi-démon,Les Archi-démons sont des démons ayant réussi a tuer leur maître. Ils prennent son rang et ses possessions et sans contestations. Ils sont les dirigents de cultes et ont une autorité suprême sur les autres Cultistes.
Chevalier Noir,Tiers 4,Cultiste -> Hérétique -> Chevalier -> Chevalier Noir,Les Chevaliers Noirs sont les Chevaliers ayant fait un serment à un Archi-démon. Ils leurs empruntent une partie de leurs pouvoir en échange de leur loyauté.
Martyr,Tiers 4,Cultiste -> Hérétique -> Chevalier -> Martyr,Les Martyrs sont les chevaliers s’étant sacrifié au combat avant d’avoir pu porté un serment et qui ont par ce sacrifice accomplie un haut fait. Ils sont ramené à la vie par la mort elle même pour la servir.
