nom,tier,path,description
Recrue,Tiers 1,"","La priorité d’une recrue Navigateurs est d’apprendre à ne jamais tomber, soit en entraînant leurs jambes pour renforcer leurs appuis, soit en devenant suffisamment agile minimiser la chûte. Il apprennent aussi à utiliser toute sorte d’armes."
Matelot,Tiers 2,Recrue -> Matelot,"Les Matelots sont les recrues qui ont pris la voie de la mer. Ils vont prioriser la nage et l’équilibre sur bateaux. De plus leurs entraînement aux armes se focalise sur les pistolet, les sabres, les couteaux et les petits engins d’ingénieurie."
Soldat,Tiers 2,Recrue -> Soldat,"Les Recrues devenuent Soldats défendent les accès aux ports et aux Archipels par voie terrestre. Ils suivent une formation d’équitation ainsi que de conduite d’engins motorisés. Le point clé de leur apprentissage consiste à savoir frapper la où ça fait mal, et ce, en toute circonstance. C’est pourquoi des armes tel que les rapières, les lances ou les fusils de précisions sont souvant priorisées."
Mage,Tiers 2,Recrue -> Mage,"Les Mages sont un cas à part. Avant de se spécialiser ils se concentrent sur la théorie. Ils apprennent les bases de la stratégie militaire, de l’ingénierie magique et de la magie curative. Ils ont célèbre pour leur affinité avec l’eau et l’air."
Plongeur,Tiers 3,Recrue -> Matelot -> Plongeur,"Les Plongeurs sont des Matelots ne voulant plus opérer sur un bateau. ils sont spécialistes des combats marins. Ils ont un mécanisme magique d’assistance respiratoire sous l’eau et des réacteurs dorsales. Ils ont une grande agilité et des connaissance de base en ingénierie magique. De plus les meilleurs connaissent des bases en termes de magie aquatiques leur permettant de mettre à profit certaines de leur compétences même en dehors de l’eau."
Pirate,Tiers 3,Recrue -> Matelot -> Pirate,"Les Pirates était les Matelots qui préfèrent rester au sec. Leur apprentissages spécifiques ce concentre sur les batailles navales, l’utilisation d’arme en pleines mer et de canons magiques."
Tireur,Tiers 3,Recrue -> Soldat -> Tireur,"Les Soldats s’étant spécialisés dans la défense à distance sont appelé Tireurs. Avec leur visions percentes ils peuvent abattre les ennemis avec un minimum de tir. On distincte deux type de tireurs, les agiles et les endurants. La première catégorie se focalise sur l’esquive et la contre-attaque, ou les attaques surprises et la secondes utilise généralement des boucliers lourd pour tirer tout en restant à couvert, au pris de leur mobilitée."
Cavalier,Tiers 3,Recrue -> Soldat -> Cavalier,"Deux raisons poussent un soldat à devenir Cavalier, l’argent et la sensation de vitesse. Ils sont experts des véhicules motorisés magiques ainsi que des combats à bord de ces derniers. Ils sont souvent employés pour défendre des cargaison de marchandise nécessitant un transport."
Garde,Tiers 3,Recrue -> Soldat -> Garde,A l’image des tireurs enndurant les Gardes Navigateurs utilises des armes de précisions ainsi qu’un bouclier afin d’empêcher quiconque de pénétrer leur défense mortelle.
Spécialiste,Tiers 3,Recrue -> Mage -> Spécialiste,Les meilleurs Mages de l’académie se vois offrir la possibilité d’une poursuite d’étude en devenant Spécialistes. Cette formation leur permet de devenir expert dans un domaine d’ingénieurie magique en vue de la fonction d’Ingénieur pour l’élite de l’élite.
Mage-Tempêtes,Tiers 3,Recrue -> Mage -> Mage-Tempête,"Les Mage-Tempêtes sont de puissant Mage ayant emprunté la voie de la guerre. A la fois excellent dans la magie de l’eau et de l’air combiné ainsi que dans la stratégie militaire, ils accompagnes souvent les équipages. Leurs sorts de grande envergure peuvent changer le cours des batailles."
Soigneur,Tiers 3,Recrue -> Mage -> Soigneur,"Les Soigneurs sont les Mages s’étant tourné vers le fondement même de la magie de l’eau, l’aide d’autrui. Leur décrit assez bien leur fonction, les plus aguerris maîtrise même un semblant de magie de lumière et se font appeler Haut-Soigneurs."
Harponneur,Tiers 4,Recrue -> Matelot -> Plongeur -> Harponneur,Les Harponneurs sont des plongeurs ayant obtenu une distinctions grâce à leurs actions. Ainsi ils prennent la tête d’une équipe de plongeurs et plannifient les batailles. Ils sont également capable de s’occupé de la maintenance de leur équipement seul sans l’aide d’ingénieurs.
Capitaine,Tiers 4,Recrue -> Matelot -> Pirate -> Capitaine,Lorsqu’un Pirate amasse assez de butin et qu’il peut acheter un bateau il est promu au rang de Capitaine. Ils ont alors le droit de diriger un équipage et leur Navire.
Ingénieur,Tiers 4,Recrue -> Mage -> Spécialiste -> Ingénieur,Les spécialiste confirmés sont appelé ingénieurs. Ce haut niveau d’étude de l’ingénieurie rapide leur vaut respect et admiration mais aussi responsabilité. Ils doivent s’occuper d'une part de la maintenance de la plus part des équipements magiques complexes et d’autre part de l’innovation.
