nom,tier,path,description
Apprentis,Tiers 1,"",Les Apprentis apprennent l’observation de l’environnement en priorité. Ils connaissent les mouvement des arbres et sont très agiles. Ils ont des connaissance de base sur les différentes zones de l’île et leurs spécificités.
Chasseur,Tiers 2,Apprentis -> Chasseur,Les Chasseurs sont des apprentis connaissant parfaitement la grande forêt. Ils peuvent y traquer des bête ou des Hommes. Ils savent manier l’arc et le couteau.
Explorateur,Tiers 2,Apprentis -> Explorateur,Les Explorateurs sont des apprentis suivant la vieille tradition de leur clan. Ils apprennent l’histoire et les régions dans l’espoir de partir à l’aventure. Ils connaissent très bien les différents territoires de l’île et ont un bestiaire dont la quantité de remplissage détermine la renommée.
Mage,Tiers 2,Apprentis -> Mage,Les Mages pacifistes apprennent les 4 magies élémentaire par la pratique mais surtout par des concepts. Une fois ces derniers maîtrisé ils les mettent à l’épreuve. Ils ne deviendront des mages confirmés qu’à la découverte des magies blanches ou noir par eux mêmes. Ils sont donc capable de manier tout type de magie.
Guerrier,Tiers 3,Apprentis -> Explorateur -> Guerrier,"Les Guerriers sont les explorateurs qui partent en quête de combat. Souvent appelés « Barbare » par les autres peuples, ils allient forte agilité avec une grande force et ont un panel de techniques aussi varié qu’imprévisible."
Aventurier,Tiers 3,Apprentis -> Explorateur -> Aventurier,Les Aventuriers sont les explorateurs qui partent en quête d’aventure. Ils recherches certains monstres encore inconnus ou bien des grottes ou donjons inexplorés et tiennent continuent d’alimenter leur bestiaire.
Cueilleur,Tiers 3,Apprentis -> Chasseur -> Cueilleur,Les Cueilleurs sont des chasseurs qui préfèrent récolter les fruits de la forêt sans pour autant faire l’impasse sur leur formation de défense. La récolte de fruit est plus dangereuse car elle est souvent gardée par la forêt cette dernière met en effet des monstres et des barrières a ceux qui les convoites.
Maître Chasseur,Tiers 3,Apprentis -> Chasseur -> Maître Chasseur,Les Maîtres Chasseurs des chasseurs expérimentés. Ils connaissent la forêt par coeur et peuvent y traquer n’importe quel être vivant. Ils enseignent souvent aux apprentis et aux chasseurs.
Druide,Tiers 3,Apprentis -> Mage -> Druide,Les Druides sont des mages ayant tiré leur force de la magie blanche et de la magie de Terre. Ils ont une place spéciale parmi les pacifistes puisqu’ils ont un lien particulier avec la nature. À la différence des archi-mages Gardiens ils ne font qu’un avec cette dernière et sont capables de faire appels aux esprits oubliés qui résident en elle.
Médecin,Tiers 3,Apprentis -> Mage -> Médecin,Les Médecins sont les mages qui ont maîtrisés les magies de soins et les bénédictions. Ils ont découvert la magie blanche et sont des maîtres de la magie de l’eau. Ils échangent souvent avec les soigneurs Navigateurs qu’ils tiennent en haute estime.
Chercheur,Tiers 3,Apprentis -> Mage -> Chercheur,Les Chercheurs sont des mages ayant découvert les magies Blanche et Noir et ayant maîtrisés chaque autres éléments. Ils ont un très haut niveau en magie théorique si bien que aucun mage d’aucun clan ne peut les égaler. Cependant ils se servent de leurs connaissances pour agrandir leur savoir et sont quasi-systématiquement l’origine des dernières avancés du monde magique.
Sorcier,Tiers 3,Apprentis -> Mage -> Sorcier,Les Sorciers Pacifistes sont les mages qui ont maîtrisés la magie noir et sont conscient de ses dangers. Ils s’en servent pour étudier la magie démoniaque et travaille souvent avec les chasseurs de démon en tant que soutien.
Alchimiste,Tiers 3,Apprentis -> Mage -> Alchimiste,Les Alchimistes Pacifistes sont les mages s’étant tournés vers l’utilisation de la forêt grâce à leur magie. Ils ne s’entendes pas du tout avec les druides et ont des liens avec les Herboristes bien que ces derniers aient des réticences quant au partage de leurs recettes.
Herboriste,Tiers 4,Apprentis -> Chasseur -> Cueilleur -> Herboriste,Les Herboristes Pacifistes sont les cueilleurs ayant atteint le niveau d’utiliser leurs récoltes pour en faire des remèdes ou des poudres. Ils ont grand savoir faire et de nombreuses recettes. Ils peuvent évidemment récolter leurs ingrédient eux même mais se plaisent à faire travailler les cueilleurs en échange de leurs produit.
Chasseur de Démons,Tiers 4,Apprentis -> Chasseur -> Maître Chasseur -> Chasseur de Démons,Les Chasseurs de Démons sont des maîtres chasseurs se sentant à l’étroit dans la forêt. Ils sont contient de la menace que représente les démons et de leur lien historique avec leur descendant. Souvent par responsabilité ils se font un devoir de les chasser.
