nom,tier,path,description
Recrue,Tiers 1,"",Les recrues du Royaumes apprennent la fidélité et le sacrifice. Elle doivent être prêtent à mourir pour leur mission. Sur leur corps se voie gravé un enchantement qui les immunise à la douleur.
Gredin,Tiers 2,Recrue -> Gredin,"Les Gredins sont des recrues maîtresses de l’agilité, ils apprennent des compétences de camouflages et connaissent un grand panel de bombes, flèches, potions etc. Ils ont aussi des bases de magie de l’air."
Soldat,Tiers 2,Recrue -> Soldat,Les Soldats du royaume sont de fidèles recrues honorables au services du Roi. Ils ont pour missions de se dévouer corps et âme à ce dernier. Ils privilégient une formation par l‘expérience et sont envoyés sur le terrains très tôt.
Mage,Tiers 2,Recrue -> Mage,Les Mages du Royaumes sont des recrues plus fascinés par la foi envers le Soleil que la Magie. Elles maîtrisent évidemment des sorts de feu et connaissent les bases de la magie de Terre et de Vent. Elle ont une forte résistance à la magie qui leur permet de lancer des sorts dangereux sans se mettre en danger.
Assassin,Tiers 3,Recrue -> Gredin -> Assassin,Les Assassins sont des Gredins spécialisés dans le camouflage et l’assassinat de cible unique. Ils utilisent une magie spéciale dérivée de la magie du vent appelé magie des « ombres ». Elle leur sert à booster leurs déplacement et les rends pratiquement invisibles.
Voleur,Tiers 3,Recrue -> Gredin -> Voleur,"Les Voleurs sont des Gredins spécialisés dans le camouflage et la récolte d’objet. Ils utilisent une magie spéciale dérivé de la magie du vent appelé magie des « ombres » pour les faire disparaître eux, ou leur cible."
Archer,Tiers 3,Recrue -> Gredin -> Archer,"Les Archers du Royaume sont des Gredins spécialisés dans l’utilisation d’objets à lancé, bombes, flèches, couteaux, potions. Ils utilisent de petits arcs. Ils utilisent la magie de vent pour contrôler leurs projectiles à distance."
Chevalier,Tiers 3,Recrue -> Soldat -> Chevalier,Les Chevaliers du Royaume sont choisis personnellement par le Roi et se voient attribuer le statut de Noble. Ils excellent dans la maîtrise d’une arme et possèdent quelques connaissances dans la magie de feu.
Garde,Tiers 3,Recrue -> Soldat -> Garde,Les Gardes du Royaume sont des Soldats ayant jurés de défendre le Royaume. Ils défendent les cités et se protègent du soleil grâce à la magie du feu. Il possèdent de grand bouclier qui leur sont hérités des Gardiens.
Mage de Guerre,Tiers 3,Recrue -> Mage -> Mage de Guerre,Les Mages de Guerre sont des Soldats ayant choisi de se spécialiser dans la magie de feu et la magie de vent. Ils enchantent leurs armes ou leurs armures avec ces dernières et ce qui leur permet de porter des attaques puissantes et rapides.
Archi-mage,Tiers 3,Recrue -> Mage -> Archi-mage,"Les Archi-mages du Royaume sont des Mages ayant maîtrisés la magie de feu et de terre. Aussi appelés Maitres Forgeron, ils confectionnent de puissant équipements pour les personnalités importantes du Royaume."
Sorcier,Tiers 3,Recrue -> Mage -> Sorcier,Les Sorciers du Royaume sont des Mages s’étant tourné vers la magie Noir. Ils vouent un culte au Roi et se servent de leur magie Feu pour purifier tout ce qui pourrait lui causer du tort. Ils sont directement à son service.
Alchimiste,Tiers 3,Recrue -> Mage -> Alchimiste,"Les Alchimistes du Royaume sont des Mages passionnés par l’art des Potions. Ils en confectionnent pour les Gredins. De plus, ils ont une grande mission, ils doivent fournir le Roi en élixir d’immortalité."
Herboriste,Tiers 4,Recrue -> Gredin -> Archer -> Herboriste,Les Herboristes du royaume sont des Archers spécialisés dans la confection de poisons. Ils se servent de leur magie de vent pour diriger les vapeurs toxiques ou leurs diverses projectiles et s’en protéger.
Garde Royal,Tiers 4,Recrue -> Soldat -> Garde -> Garde Royal,Les Gardes Royaux sont des Gardes ayant jurés de protéger le Roi. Ils maîtrisent une magie de feu et de vent appelé « Barrière » reposant sur des principes de magie de terre qui leur offre une défense mortelle.
Les Brûlés,Tiers 4,Recrue -> Soldat -> Chevalier -> Brulé,"Les Brûlés sont des Maîtres Chevaliers ayant fait un serment devant le Soleil. Ils se sont embrasés, alliant ainsi parfaitement magie, foi et puissance."
Fidèle,Tiers 4,Recrue -> Soldat -> Chevalier -> Fidèle,"Les Fidèles sont des Maîtres Chevaliers ayant fait un serment devant le Roi. Ils apprennent une magie de feu et de terre appelé « liaison » qui leur permet de se lier à une cible et de prendre les attaques à sa place."
